task,variant,arm,old_score,new_score,unresolved,linked_met,linked_total
128-jr-1-f7f95d92,adapted,base,0.16666666666666666,0.16666666666666666,0,1,6
128-jr-1-f7f95d92,complete,base,0.3333333333333333,0.3333333333333333,0,2,6
lawworld417-ne-06-7d454c39,adapted,base,1.0,1.0,0,1,1
lawworld417-ne-06-7d454c39,complete,base,0.8333333333333334,0.6666666666666666,0,1,1
lawworld433-anb-01-5d12cf8d,adapted,base,0.3333333333333333,0.3333333333333333,0,0,2
lawworld433-anb-01-5d12cf8d,complete,base,1.0,1.0,0,2,2
world-129-cy-task-3-2bcdc3db,adapted,base,0.0,0.0,0,0,4
world-129-cy-task-3-2bcdc3db,complete,scripted_0,0.0,0.0,0,0,4
world-129-cy-task-3-2bcdc3db,complete,scripted_1,0.0,0.0,0,0,4
world-129-cy-task-3-2bcdc3db,complete,simA_minimal_0,0.0,0.0,0,0,4
world-129-cy-task-3-2bcdc3db,complete,simA_minimal_1,0.0,0.0,0,0,4
world-129-cy-task-3-2bcdc3db,complete,simB_helpful_0,0.0,0.0,0,0,4
world-129-cy-task-3-2bcdc3db,complete,simB_helpful_1,0.0,0.0,0,0,4
world-134-rg-04-4498da8f,adapted,base,0.5,0.16666666666666666,0,1,6
world-134-rg-04-4498da8f,complete,base,0.0,0.0,0,0,6
world-221-hy-05-fa5120b0,adapted,base,0.0,0.0,0,0,5
world-221-hy-05-fa5120b0,complete,base,0.4,0.4,0,2,5
world-225-je-01-70449b2d,adapted,base,0.0,0.0,0,0,2
world-225-je-01-70449b2d,complete,base,1.0,1.0,0,2,2
world223-smn-05-b00d08c1,adapted,scripted_0,1.0,1.0,0,4,4
world223-smn-05-b00d08c1,adapted,scripted_1,1.0,1.0,0,4,4
world223-smn-05-b00d08c1,adapted,simA_minimal_0,0.5,0.5,0,2,4
world223-smn-05-b00d08c1,adapted,simA_minimal_1,0.5,0.5,0,2,4
world223-smn-05-b00d08c1,adapted,simB_helpful_0,1.0,1.0,0,4,4
world223-smn-05-b00d08c1,adapted,simB_helpful_1,1.0,1.0,0,4,4
world223-smn-05-b00d08c1,complete,base,0.0,0.0,0,0,4
