task,variant,arm,status,steps,contacted,message,mean_score,linked_met,restore_ok
128-jr-1-f7f95d92,complete,base,done,42,False,,1.0,6,
128-jr-1-f7f95d92,adapted,base,done,68,False,,0.5,3,
world-129-cy-task-3-2bcdc3db,complete,base,contacted,78,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",,,
world-129-cy-task-3-2bcdc3db,complete,scripted#0,done,6,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",0.0,0,True
world-129-cy-task-3-2bcdc3db,complete,simB_helpful#0,done,10,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",0.0,0,True
world-129-cy-task-3-2bcdc3db,complete,simA_minimal#1,done,10,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",0.0,0,True
world-129-cy-task-3-2bcdc3db,complete,simA_minimal#0,done,9,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",0.0,0,True
world-129-cy-task-3-2bcdc3db,complete,scripted#1,done,4,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",0.0,0,True
world-129-cy-task-3-2bcdc3db,complete,simB_helpful#1,done,11,True,"Could you please clarify the following regarding the discount and variance calculations:

1. Which Company Size ranges in the revenue data by segment correspond to the Business and Growth tiers (e.g., Mid-Market (51–250) for Business and Upper Mid-Market (251–500) for Growth)?
2. For the midpoint user count, should we use the exact midpoints (150.5 for 51–250, 375.5 for 251–500) or rounded/span midpoints (150 and 375)?
3. For the actual price per customer in the revenue data, should we use the weighted ARPU (Total ARR / Total Customers) or the unweighted mean ARPU?
4. Is the % variance relative to policy threshold calculated as relative variance ((Discount - Threshold) / Threshold * 100) or percentage point difference (Discount - Threshold)?",0.0,0,True
world-129-cy-task-3-2bcdc3db,adapted,base,done,42,False,,0.0,0,
world-134-rg-04-4498da8f,complete,base,done,68,False,,0.0,0,
world-134-rg-04-4498da8f,adapted,base,contacted,71,True,"Could you please clarify three assumptions for the analysis:
1. When TrainIQ loses market share, is CompliSure assumed to capture the entirety of TrainIQ's lost share, or is the lost share redistributed (e.g., pro-rata) across remaining competitors?
2. Do the research firm estimates (Firm A: 7%, Firm B: 12%, Firm C: 18%) represent a relative percentage loss of TrainIQ's market share (i.e., TrainIQ's share is reduced by 7%/12%/18% of its initial share) or an absolute percentage point loss (i.e., TrainIQ's market share drops by 7/12/18 percentage points)?
3. Which file should be used as the latest version of the 5-year forecast for CompliSure's 2025 base-case outlook: Management_Forecast_v8.xlsx / v7b.xlsx (with 2025 base revenue of $49.71M and 11.75% share) or 5yr_forecast_v5.xlsx (with 2025 base revenue of $41.25M and 9.75% share)?",,,
