task,variant,arm,status,steps,contacted,message,mean_score,linked_met,restore_ok
128-jr-1-f7f95d92,complete,base,done,30,False,,1.0,6,
128-jr-1-f7f95d92,adapted,base,done,50,False,,0.5,3,
world-129-cy-task-3-2bcdc3db,complete,base,done_forced,80,False,,0.0,0,
world-129-cy-task-3-2bcdc3db,adapted,base,done,68,False,,0.0,0,
world-134-rg-04-4498da8f,complete,base,done_forced,80,False,,0.8333333333333334,5,
world-134-rg-04-4498da8f,adapted,base,done,75,False,,1.0,6,
lawworld433-anb-01-5d12cf8d,complete,base,done,21,False,,1.0,2,
lawworld433-anb-01-5d12cf8d,adapted,base,done,31,False,,0.3333333333333333,0,
lawworld417-ne-06-7d454c39,complete,base,done,21,False,,1.0,1,
lawworld417-ne-06-7d454c39,adapted,base,done,31,False,,0.8333333333333334,1,
world223-smn-05-b00d08c1,complete,base,done,30,False,,1.0,4,
world223-smn-05-b00d08c1,adapted,base,done,29,False,,0.5,2,
world-225-je-01-70449b2d,complete,base,done,41,False,,1.0,2,
world-225-je-01-70449b2d,adapted,base,done,50,False,,0.0,0,
world-221-hy-05-fa5120b0,complete,base,done,68,False,,0.6,3,
world-221-hy-05-fa5120b0,adapted,base,done,53,False,,0.0,0,
